No,Tahun,Bulan,Kode,Nama,Luas_Tan_Akhir_Bulan_Lalu,Luas_Panen_Habis,Luas_Panen_Belum_Habis,Luas_Rusak,Luas_Tambah_Tanam,Luas_Tan_Akhir,Produksi_Habis_Kw,Produksi_Belum_Habis_Kw,Harga_Jual_Petani_RpKg,Bulan_num,Periode,Produksi_kg,Luas_Panen_ha,is_zero_produksi
94,2023,April,KBS,Kubis,9,0,0,0,0,9,0.0,0,2437,4,2023-04-01,0.0,0,1
120,2023,Mei,KBS,Kubis,9,0,0,0,0,9,0.0,0,2437,5,2023-05-01,0.0,0,1
146,2023,Juni,KBS,Kubis,9,0,0,0,0,9,0.0,0,2437,6,2023-06-01,0.0,0,1
172,2023,Juli,KBS,Kubis,9,2,0,0,2,9,130.0,0,4000,7,2023-07-01,13000.0,2,0
198,2023,Agustus,KBS,Kubis,9,1,0,0,1,9,80.0,0,2500,8,2023-08-01,8000.0,1,0
224,2023,September,KBS,Kubis,9,2,0,0,2,9,140.0,0,2000,9,2023-09-01,14000.0,2,0
250,2023,Oktober,KBS,Kubis,9,1,0,0,1,9,70.0,0,2500,10,2023-10-01,7000.0,1,0
276,2023,November,KBS,Kubis,9,2,0,0,2,9,150.0,0,2000,11,2023-11-01,15000.0,2,0
302,2023,Desember,KBS,Kubis,9,2,0,0,2,9,160.0,0,2000,12,2023-12-01,16000.0,2,0
328,2024,Januari,KBS,Kubis,9,3,0,0,5,11,600.0,0,4000,1,2024-01-01,60000.0,3,0
354,2024,Februari,KBS,Kubis,11,3,0,0,5,13,600.0,0,4000,2,2024-02-01,60000.0,3,0
380,2024,Maret,KBS,Kubis,13,5,0,0,3,11,1000.0,0,5000,3,2024-03-01,100000.0,5,0
406,2024,April,KBS,Kubis,9,8,3,0,15,18,1461.0,320,2000,4,2024-04-01,178100.0,11,0
432,2024,Mei,KBS,Kubis,5,1,14,0,13,11,597.0,1351,2000,5,2024-05-01,194800.0,15,0
458,2024,Juni,KBS,Kubis,9,6,1,0,9,0,937.0,982,2000,6,2024-06-01,191900.0,7,0
484,2024,Juli,KBS,Kubis,14,3,3,0,4,7,1545.0,224,2000,7,2024-07-01,176900.0,6,0
510,2024,Agustus,KBS,Kubis,7,7,10,0,10,17,1076.0,1309,2000,8,2024-08-01,238500.0,17,0
536,2024,September,KBS,Kubis,10,5,10,0,3,0,964.0,405,2000,9,2024-09-01,136900.0,15,0
562,2024,Oktober,KBS,Kubis,4,6,8,0,9,14,38.0,151,2000,10,2024-10-01,18900.0,14,0
588,2024,November,KBS,Kubis,10,1,13,0,6,1,571.0,1398,2000,11,2024-11-01,196900.0,14,0
614,2024,Desember,KBS,Kubis,8,4,13,0,11,10,642.0,1066,2000,12,2024-12-01,170800.0,17,0
640,2025,Januari,KBS,Kubis,10,7,0,0,5,8,560.0,0,2000,1,2025-01-01,56000.0,7,0
666,2025,Februari,KBS,Kubis,8,3,0,0,2,7,240.0,0,2500,2,2025-02-01,24000.0,3,0
692,2025,Maret,KBS,Kubis,7,0,0,0,2,9,0.0,0,0,3,2025-03-01,0.0,0,1
718,2025,April,KBS,Kubis,9,0,0,0,0,9,0.0,0,0,4,2025-04-01,0.0,0,1
744,2025,Mei,KBS,Kubis,9,0,0,0,0,9,0.0,0,0,5,2025-05-01,0.0,0,1
770,2025,Juni,KBS,Kubis,9,0,0,0,0,9,0.0,0,0,6,2025-06-01,0.0,0,1
796,2025,Juli,KBS,Kubis,9,2,0,0,2,9,130.0,0,4000,7,2025-07-01,13000.0,2,0
822,2025,Agustus,KBS,Kubis,9,1,0,0,1,9,80.0,0,2500,8,2025-08-01,8000.0,1,0
848,2025,September,KBS,Kubis,9,2,0,0,2,9,140.0,0,2000,9,2025-09-01,14000.0,2,0
874,2025,Oktober,KBS,Kubis,9,1,0,0,1,9,70.0,0,2500,10,2025-10-01,7000.0,1,0
900,2025,November,KBS,Kubis,9,2,0,0,2,9,150.0,0,2000,11,2025-11-01,15000.0,2,0
926,2025,Desember,KBS,Kubis,9,2,0,0,2,9,160.0,0,2000,12,2025-12-01,16000.0,2,0
953,2026,Januari,KBS,Kubis,9,3,0,0,5,11,600.0,0,4000,1,2026-01-01,60000.0,3,0
981,2026,Februari,KBS,Kubis,11,3,0,0,5,13,600.0,0,4000,2,2026-02-01,60000.0,3,0
1009,2026,Maret,KBS,Kubis,13,5,0,0,3,11,1000.0,0,5000,3,2026-03-01,100000.0,5,0
17,2023,Januari,LBUSI,Labu Siam,15,0,15,0,2,17,0.0,1500,6000,1,2023-01-01,150000.0,15,0
43,2023,Februari,LBUSI,Labu Siam,17,3,14,0,5,19,240.0,1120,5500,2,2023-02-01,136000.0,17,0
69,2023,Maret,LBUSI,Labu Siam,19,5,14,0,2,16,800.0,1120,5500,3,2023-03-01,192000.0,19,0
95,2023,April,LBUSI,Labu Siam,16,2,14,0,2,16,160.0,2240,5500,4,2023-04-01,240000.0,16,0
121,2023,Mei,LBUSI,Labu Siam,16,2,14,0,2,16,160.0,2240,5500,5,2023-05-01,240000.0,16,0
147,2023,Juni,LBUSI,Labu Siam,16,3,13,0,2,15,250.0,1040,5500,6,2023-06-01,129000.0,16,0
173,2023,Juli,LBUSI,Labu Siam,15,2,0,0,2,15,120.0,0,5500,7,2023-07-01,12000.0,2,0
199,2023,Agustus,LBUSI,Labu Siam,15,2,0,0,2,15,150.0,0,3000,8,2023-08-01,15000.0,2,0
225,2023,September,LBUSI,Labu Siam,15,3,0,0,3,15,210.0,0,2000,9,2023-09-01,21000.0,3,0
251,2023,Oktober,LBUSI,Labu Siam,15,3,0,0,3,15,210.0,0,2000,10,2023-10-01,21000.0,3,0
277,2023,November,LBUSI,Labu Siam,15,8,7,0,8,15,600.0,525,2000,11,2023-11-01,112500.0,15,0
303,2023,Desember,LBUSI,Labu Siam,15,1,0,0,1,15,80.0,0,3000,12,2023-12-01,8000.0,1,0
329,2024,Januari,LBUSI,Labu Siam,15,6,9,0,9,18,1200.0,1800,3000,1,2024-01-01,300000.0,15,0
355,2024,Februari,LBUSI,Labu Siam,18,5,0,0,4,17,1000.0,0,3000,2,2024-02-01,100000.0,5,0
381,2024,Maret,LBUSI,Labu Siam,17,5,12,0,3,15,1000.0,2200,3000,3,2024-03-01,320000.0,17,0
407,2024,April,LBUSI,Labu Siam,0,0,0,0,0,0,0.0,0,3000,4,2024-04-01,0.0,0,1
433,2024,Mei,LBUSI,Labu Siam,0,0,0,0,0,0,0.0,0,3000,5,2024-05-01,0.0,0,1
459,2024,Juni,LBUSI,Labu Siam,0,0,0,0,0,0,0.0,0,3000,6,2024-06-01,0.0,0,1
485,2024,Juli,LBUSI,Labu Siam,0,0,0,0,0,0,0.0,0,3000,7,2024-07-01,0.0,0,1
511,2024,Agustus,LBUSI,Labu Siam,0,0,0,0,0,0,0.0,0,3000,8,2024-08-01,0.0,0,1
537,2024,September,LBUSI,Labu Siam,0,0,0,0,0,0,0.0,0,3000,9,2024-09-01,0.0,0,1
563,2024,Oktober,LBUSI,Labu Siam,0,0,0,0,0,0,0.0,0,3000,10,2024-10-01,0.0,0,1
589,2024,November,LBUSI,Labu Siam,0,0,0,0,0,0,0.0,0,3000,11,2024-11-01,0.0,0,1
615,2024,Desember,LBUSI,Labu Siam,0,0,0,0,0,0,0.0,0,3000,12,2024-12-01,0.0,0,1
641,2025,Januari,LBUSI,Labu Siam,15,0,15,0,2,17,0.0,1500,6000,1,2025-01-01,150000.0,15,0
667,2025,Februari,LBUSI,Labu Siam,17,3,14,0,5,19,240.0,1120,5500,2,2025-02-01,136000.0,17,0
693,2025,Maret,LBUSI,Labu Siam,19,5,14,0,2,16,800.0,1120,5500,3,2025-03-01,192000.0,19,0
719,2025,April,LBUSI,Labu Siam,16,2,14,0,2,16,160.0,2240,5500,4,2025-04-01,240000.0,16,0
745,2025,Mei,LBUSI,Labu Siam,16,2,14,0,2,16,160.0,2240,5500,5,2025-05-01,240000.0,16,0
771,2025,Juni,LBUSI,Labu Siam,16,3,13,0,2,15,250.0,1040,5500,6,2025-06-01,129000.0,16,0
797,2025,Juli,LBUSI,Labu Siam,15,2,0,0,2,15,120.0,0,5500,7,2025-07-01,12000.0,2,0
823,2025,Agustus,LBUSI,Labu Siam,15,2,0,0,2,15,150.0,0,3000,8,2025-08-01,15000.0,2,0
849,2025,September,LBUSI,Labu Siam,15,3,0,0,3,15,210.0,0,2000,9,2025-09-01,21000.0,3,0
875,2025,Oktober,LBUSI,Labu Siam,15,3,0,0,3,15,210.0,0,2000,10,2025-10-01,21000.0,3,0
901,2025,November,LBUSI,Labu Siam,15,8,7,0,8,15,600.0,525,2000,11,2025-11-01,112500.0,15,0
927,2025,Desember,LBUSI,Labu Siam,15,1,0,0,1,15,80.0,0,3000,12,2025-12-01,8000.0,1,0
954,2026,Januari,LBUSI,Labu Siam,15,6,9,0,9,18,1200.0,1800,3000,1,2026-01-01,300000.0,15,0
982,2026,Februari,LBUSI,Labu Siam,18,5,0,0,4,17,1000.0,0,3000,2,2026-02-01,100000.0,5,0
1010,2026,Maret,LBUSI,Labu Siam,17,5,12,0,3,15,1000.0,2200,3000,3,2026-03-01,320000.0,17,0
19,2023,Januari,TMN,Mentimun,6,1,5,0,1,6,80.0,400,2500,1,2023-01-01,48000.0,6,0
45,2023,Februari,TMN,Mentimun,6,2,4,0,1,5,160.0,320,3000,2,2023-02-01,48000.0,6,0
71,2023,Maret,TMN,Mentimun,5,2,3,0,0,3,160.0,240,3000,3,2023-03-01,40000.0,5,0
97,2023,April,TMN,Mentimun,3,2,1,0,2,3,160.0,80,3000,4,2023-04-01,24000.0,3,0
123,2023,Mei,TMN,Mentimun,3,2,1,0,2,3,160.0,80,3000,5,2023-05-01,24000.0,3,0
149,2023,Juni,TMN,Mentimun,3,1,2,0,2,4,70.0,140,3000,6,2023-06-01,21000.0,3,0
175,2023,Juli,TMN,Mentimun,4,0,0,0,0,4,0.0,0,3500,7,2023-07-01,0.0,0,1
201,2023,Agustus,TMN,Mentimun,4,1,0,0,1,4,70.0,0,5000,8,2023-08-01,7000.0,1,0
227,2023,September,TMN,Mentimun,4,2,0,0,2,4,145.0,0,4000,9,2023-09-01,14500.0,2,0
253,2023,Oktober,TMN,Mentimun,4,0,0,0,0,4,0.0,0,3500,10,2023-10-01,0.0,0,1
279,2023,November,TMN,Mentimun,4,2,2,0,2,4,150.0,150,5000,11,2023-11-01,30000.0,4,0
305,2023,Desember,TMN,Mentimun,4,0,0,0,0,4,0.0,0,3500,12,2023-12-01,0.0,0,1
331,2024,Januari,TMN,Mentimun,4,2,2,0,3,5,400.0,400,2000,1,2024-01-01,80000.0,4,0
357,2024,Februari,TMN,Mentimun,5,2,0,0,1,4,300.0,0,2000,2,2024-02-01,30000.0,2,0
383,2024,Maret,TMN,Mentimun,4,2,2,0,1,3,300.0,300,3000,3,2024-03-01,60000.0,4,0
409,2024,April,TMN,Mentimun,0,0,0,0,0,0,0.0,0,2333,4,2024-04-01,0.0,0,1
435,2024,Mei,TMN,Mentimun,0,0,0,0,0,0,0.0,0,2333,5,2024-05-01,0.0,0,1
461,2024,Juni,TMN,Mentimun,0,0,0,0,0,0,0.0,0,2333,6,2024-06-01,0.0,0,1
487,2024,Juli,TMN,Mentimun,0,0,0,0,0,0,0.0,0,2333,7,2024-07-01,0.0,0,1
513,2024,Agustus,TMN,Mentimun,0,0,0,0,0,0,0.0,0,2333,8,2024-08-01,0.0,0,1
539,2024,September,TMN,Mentimun,0,0,0,0,0,0,0.0,0,2333,9,2024-09-01,0.0,0,1
565,2024,Oktober,TMN,Mentimun,0,0,0,0,0,0,0.0,0,2333,10,2024-10-01,0.0,0,1
591,2024,November,TMN,Mentimun,0,0,0,0,0,0,0.0,0,2333,11,2024-11-01,0.0,0,1
617,2024,Desember,TMN,Mentimun,0,0,0,0,0,0,0.0,0,2333,12,2024-12-01,0.0,0,1
643,2025,Januari,TMN,Mentimun,6,1,5,0,1,6,80.0,400,2500,1,2025-01-01,48000.0,6,0
669,2025,Februari,TMN,Mentimun,6,2,4,0,1,5,160.0,320,3000,2,2025-02-01,48000.0,6,0
695,2025,Maret,TMN,Mentimun,5,2,3,0,0,3,160.0,240,3000,3,2025-03-01,40000.0,5,0
721,2025,April,TMN,Mentimun,3,2,1,0,2,3,160.0,80,3000,4,2025-04-01,24000.0,3,0
747,2025,Mei,TMN,Mentimun,3,2,1,0,2,3,160.0,80,3000,5,2025-05-01,24000.0,3,0
773,2025,Juni,TMN,Mentimun,3,1,2,0,2,4,70.0,140,3000,6,2025-06-01,21000.0,3,0
799,2025,Juli,TMN,Mentimun,4,0,0,0,0,4,0.0,0,0,7,2025-07-01,0.0,0,1
825,2025,Agustus,TMN,Mentimun,4,1,0,0,1,4,70.0,0,5000,8,2025-08-01,7000.0,1,0
851,2025,September,TMN,Mentimun,4,2,0,0,2,4,145.0,0,4000,9,2025-09-01,14500.0,2,0
877,2025,Oktober,TMN,Mentimun,4,0,0,0,0,4,0.0,0,0,10,2025-10-01,0.0,0,1
903,2025,November,TMN,Mentimun,4,2,2,0,2,4,150.0,150,5000,11,2025-11-01,30000.0,4,0
929,2025,Desember,TMN,Mentimun,4,0,0,0,0,4,0.0,0,0,12,2025-12-01,0.0,0,1
957,2026,Januari,TMN,Mentimun,4,2,2,0,3,5,400.0,400,2000,1,2026-01-01,80000.0,4,0
985,2026,Februari,TMN,Mentimun,5,2,0,0,1,4,300.0,0,2000,2,2026-02-01,30000.0,2,0
1013,2026,Maret,TMN,Mentimun,4,2,2,0,1,3,300.0,300,3000,3,2026-03-01,60000.0,4,0
20,2023,Januari,PPR,Paprika,19,3,0,0,2,18,225.0,0,20000,1,2023-01-01,22500.0,3,0
46,2023,Februari,PPR,Paprika,18,5,13,0,5,18,800.0,2080,27000,2,2023-02-01,288000.0,18,0
72,2023,Maret,PPR,Paprika,18,5,0,0,4,17,375.0,0,27000,3,2023-03-01,37500.0,5,0
98,2023,April,PPR,Paprika,17,3,14,0,3,17,480.0,2240,27000,4,2023-04-01,272000.0,17,0
124,2023,Mei,PPR,Paprika,17,1,0,0,1,17,75.0,0,27000,5,2023-05-01,7500.0,1,0
150,2023,Juni,PPR,Paprika,17,1,16,0,1,17,85.0,1280,27000,6,2023-06-01,136500.0,17,0
176,2023,Juli,PPR,Paprika,17,2,0,0,2,17,120.0,0,24000,7,2023-07-01,12000.0,2,0
202,2023,Agustus,PPR,Paprika,17,2,0,0,2,17,160.0,0,35000,8,2023-08-01,16000.0,2,0
228,2023,September,PPR,Paprika,17,2,0,0,2,17,145.0,0,15000,9,2023-09-01,14500.0,2,0
254,2023,Oktober,PPR,Paprika,17,3,0,0,3,17,210.0,0,15000,10,2023-10-01,21000.0,3,0
280,2023,November,PPR,Paprika,17,4,13,0,4,17,300.0,1040,15000,11,2023-11-01,134000.0,17,0
306,2023,Desember,PPR,Paprika,17,0,0,0,0,17,0.0,0,23545,12,2023-12-01,0.0,0,1
332,2024,Januari,PPR,Paprika,17,5,12,0,8,20,1000.0,2400,30000,1,2024-01-01,340000.0,17,0
358,2024,Februari,PPR,Paprika,20,7,0,0,5,18,1400.0,0,25000,2,2024-02-01,140000.0,7,0
384,2024,Maret,PPR,Paprika,18,6,12,0,3,15,1200.0,2400,30000,3,2024-03-01,360000.0,18,0
410,2024,April,PPR,Paprika,0,0,0,0,0,0,0.0,0,28333,4,2024-04-01,0.0,0,1
436,2024,Mei,PPR,Paprika,0,0,0,0,0,0,0.0,0,28333,5,2024-05-01,0.0,0,1
462,2024,Juni,PPR,Paprika,0,0,0,0,0,0,0.0,0,28333,6,2024-06-01,0.0,0,1
488,2024,Juli,PPR,Paprika,0,0,0,0,0,0,0.0,0,28333,7,2024-07-01,0.0,0,1
514,2024,Agustus,PPR,Paprika,0,0,0,0,0,0,0.0,0,28333,8,2024-08-01,0.0,0,1
540,2024,September,PPR,Paprika,0,0,0,0,0,0,0.0,0,28333,9,2024-09-01,0.0,0,1
566,2024,Oktober,PPR,Paprika,0,0,0,0,0,0,0.0,0,28333,10,2024-10-01,0.0,0,1
592,2024,November,PPR,Paprika,0,0,0,0,0,0,0.0,0,28333,11,2024-11-01,0.0,0,1
618,2024,Desember,PPR,Paprika,0,0,0,0,0,0,0.0,0,28333,12,2024-12-01,0.0,0,1
644,2025,Januari,PPR,Paprika,19,3,0,0,2,18,225.0,0,20000,1,2025-01-01,22500.0,3,0
670,2025,Februari,PPR,Paprika,18,5,13,0,5,18,800.0,2080,27000,2,2025-02-01,288000.0,18,0
696,2025,Maret,PPR,Paprika,18,5,0,0,4,17,375.0,0,27000,3,2025-03-01,37500.0,5,0
722,2025,April,PPR,Paprika,17,3,14,0,3,17,480.0,2240,27000,4,2025-04-01,272000.0,17,0
748,2025,Mei,PPR,Paprika,17,1,0,0,1,17,75.0,0,27000,5,2025-05-01,7500.0,1,0
774,2025,Juni,PPR,Paprika,17,1,16,0,1,17,85.0,1280,27000,6,2025-06-01,136500.0,17,0
800,2025,Juli,PPR,Paprika,17,2,0,0,2,17,120.0,0,24000,7,2025-07-01,12000.0,2,0
826,2025,Agustus,PPR,Paprika,17,2,0,0,2,17,160.0,0,35000,8,2025-08-01,16000.0,2,0
852,2025,September,PPR,Paprika,17,2,0,0,2,17,145.0,0,15000,9,2025-09-01,14500.0,2,0
878,2025,Oktober,PPR,Paprika,17,3,0,0,3,17,210.0,0,15000,10,2025-10-01,21000.0,3,0
904,2025,November,PPR,Paprika,17,4,13,0,4,17,300.0,1040,15000,11,2025-11-01,134000.0,17,0
930,2025,Desember,PPR,Paprika,17,0,0,0,0,17,0.0,0,0,12,2025-12-01,0.0,0,1
958,2026,Januari,PPR,Paprika,17,5,12,0,8,20,1000.0,2400,30000,1,2026-01-01,340000.0,17,0
986,2026,Februari,PPR,Paprika,20,7,0,0,5,18,1400.0,0,25000,2,2026-02-01,140000.0,7,0
1014,2026,Maret,PPR,Paprika,18,6,12,0,3,15,1200.0,2400,30000,3,2026-03-01,360000.0,18,0
21,2023,Januari,SWI,Petsai/Sawi,8,8,0,0,8,8,640.0,0,15000,1,2023-01-01,64000.0,8,0
47,2023,Februari,SWI,Petsai/Sawi,8,3,0,0,3,8,240.0,0,1500,2,2023-02-01,24000.0,3,0
73,2023,Maret,SWI,Petsai/Sawi,8,8,0,0,3,3,640.0,0,1500,3,2023-03-01,64000.0,8,0
99,2023,April,SWI,Petsai/Sawi,3,0,0,0,0,3,0.0,0,4500,4,2023-04-01,0.0,0,1
125,2023,Mei,SWI,Petsai/Sawi,3,2,0,0,2,3,160.0,0,1500,5,2023-05-01,16000.0,2,0
151,2023,Juni,SWI,Petsai/Sawi,3,2,0,0,2,3,160.0,0,1500,6,2023-06-01,16000.0,2,0
177,2023,Juli,SWI,Petsai/Sawi,3,0,0,0,0,3,0.0,0,4500,7,2023-07-01,0.0,0,1
203,2023,Agustus,SWI,Petsai/Sawi,3,0,0,0,0,3,0.0,0,4500,8,2023-08-01,0.0,0,1
229,2023,September,SWI,Petsai/Sawi,3,1,0,0,1,3,75.0,0,6000,9,2023-09-01,7500.0,1,0
255,2023,Oktober,SWI,Petsai/Sawi,3,0,0,0,0,3,0.0,0,4500,10,2023-10-01,0.0,0,1
281,2023,November,SWI,Petsai/Sawi,3,0,0,0,0,3,0.0,0,4500,11,2023-11-01,0.0,0,1
307,2023,Desember,SWI,Petsai/Sawi,3,0,0,0,0,3,0.0,0,4500,12,2023-12-01,0.0,0,1
333,2024,Januari,SWI,Petsai/Sawi,3,1,0,0,6,8,200.0,0,4000,1,2024-01-01,20000.0,1,0
359,2024,Februari,SWI,Petsai/Sawi,8,2,0,0,3,9,400.0,0,3000,2,2024-02-01,40000.0,2,0
385,2024,Maret,SWI,Petsai/Sawi,9,3,0,0,2,8,600.0,0,6000,3,2024-03-01,60000.0,3,0
411,2024,April,SWI,Petsai/Sawi,0,0,0,0,0,0,0.0,0,4333,4,2024-04-01,0.0,0,1
437,2024,Mei,SWI,Petsai/Sawi,0,0,0,0,0,0,0.0,0,4333,5,2024-05-01,0.0,0,1
463,2024,Juni,SWI,Petsai/Sawi,0,0,0,0,0,0,0.0,0,4333,6,2024-06-01,0.0,0,1
489,2024,Juli,SWI,Petsai/Sawi,0,0,0,0,0,0,0.0,0,4333,7,2024-07-01,0.0,0,1
515,2024,Agustus,SWI,Petsai/Sawi,0,0,0,0,0,0,0.0,0,4333,8,2024-08-01,0.0,0,1
541,2024,September,SWI,Petsai/Sawi,0,0,0,0,0,0,0.0,0,4333,9,2024-09-01,0.0,0,1
567,2024,Oktober,SWI,Petsai/Sawi,0,0,0,0,0,0,0.0,0,4333,10,2024-10-01,0.0,0,1
593,2024,November,SWI,Petsai/Sawi,0,0,0,0,0,0,0.0,0,4333,11,2024-11-01,0.0,0,1
619,2024,Desember,SWI,Petsai/Sawi,0,0,0,0,0,0,0.0,0,4333,12,2024-12-01,0.0,0,1
645,2025,Januari,SWI,Petsai/Sawi,8,8,0,0,8,8,640.0,0,15000,1,2025-01-01,64000.0,8,0
671,2025,Februari,SWI,Petsai/Sawi,8,3,0,0,3,8,240.0,0,1500,2,2025-02-01,24000.0,3,0
697,2025,Maret,SWI,Petsai/Sawi,8,8,0,0,3,3,640.0,0,1500,3,2025-03-01,64000.0,8,0
723,2025,April,SWI,Petsai/Sawi,3,0,0,0,0,3,0.0,0,0,4,2025-04-01,0.0,0,1
749,2025,Mei,SWI,Petsai/Sawi,3,2,0,0,2,3,160.0,0,1500,5,2025-05-01,16000.0,2,0
775,2025,Juni,SWI,Petsai/Sawi,3,2,0,0,2,3,160.0,0,1500,6,2025-06-01,16000.0,2,0
801,2025,Juli,SWI,Petsai/Sawi,3,0,0,0,0,3,0.0,0,0,7,2025-07-01,0.0,0,1
827,2025,Agustus,SWI,Petsai/Sawi,3,0,0,0,0,3,0.0,0,0,8,2025-08-01,0.0,0,1
853,2025,September,SWI,Petsai/Sawi,3,1,0,0,1,3,75.0,0,6000,9,2025-09-01,7500.0,1,0
879,2025,Oktober,SWI,Petsai/Sawi,3,0,0,0,0,3,0.0,0,0,10,2025-10-01,0.0,0,1
905,2025,November,SWI,Petsai/Sawi,3,0,0,0,0,3,0.0,0,0,11,2025-11-01,0.0,0,1
931,2025,Desember,SWI,Petsai/Sawi,3,0,0,0,0,3,0.0,0,0,12,2025-12-01,0.0,0,1
959,2026,Januari,SWI,Petsai/Sawi,3,1,0,0,6,8,200.0,0,4000,1,2026-01-01,20000.0,1,0
987,2026,Februari,SWI,Petsai/Sawi,8,2,0,0,3,9,400.0,0,3000,2,2026-02-01,40000.0,2,0
1015,2026,Maret,SWI,Petsai/Sawi,9,3,0,0,2,8,600.0,0,6000,3,2026-03-01,60000.0,3,0
24,2023,Januari,TRG,Terung,11,0,11,0,2,13,0.0,880,4500,1,2023-01-01,88000.0,11,0
50,2023,Februari,TRG,Terung,13,3,10,0,6,16,240.0,800,4000,2,2023-02-01,104000.0,13,0
76,2023,Maret,TRG,Terung,16,3,13,0,2,15,240.0,1040,4000,3,2023-03-01,128000.0,16,0
102,2023,April,TRG,Terung,15,4,11,0,4,15,320.0,880,4000,4,2023-04-01,120000.0,15,0
128,2023,Mei,TRG,Terung,15,0,15,0,0,15,0.0,1200,4000,5,2023-05-01,120000.0,15,0
154,2023,Juni,TRG,Terung,15,0,0,0,0,15,0.0,0,5345,6,2023-06-01,0.0,0,1
180,2023,Juli,TRG,Terung,15,2,0,0,2,15,120.0,0,4300,7,2023-07-01,12000.0,2,0
206,2023,Agustus,TRG,Terung,15,1,0,0,1,15,70.0,0,4000,8,2023-08-01,7000.0,1,0
232,2023,September,TRG,Terung,15,2,0,0,2,15,145.0,0,8000,9,2023-09-01,14500.0,2,0
258,2023,Oktober,TRG,Terung,15,4,0,0,4,15,280.0,0,8000,10,2023-10-01,28000.0,4,0
284,2023,November,TRG,Terung,15,7,8,0,7,15,525.0,600,7000,11,2023-11-01,112500.0,15,0
310,2023,Desember,TRG,Terung,15,5,0,0,5,15,400.0,0,7000,12,2023-12-01,40000.0,5,0
336,2024,Januari,TRG,Terung,15,5,10,0,8,18,750.0,1500,6000,1,2024-01-01,225000.0,15,0
362,2024,Februari,TRG,Terung,18,4,0,0,3,17,600.0,0,6000,2,2024-02-01,60000.0,4,0
388,2024,Maret,TRG,Terung,17,4,13,0,2,15,600.0,2600,4000,3,2024-03-01,320000.0,17,0
414,2024,April,TRG,Terung,0,0,0,0,0,0,0.0,0,5333,4,2024-04-01,0.0,0,1
440,2024,Mei,TRG,Terung,0,0,0,0,0,0,0.0,0,5333,5,2024-05-01,0.0,0,1
466,2024,Juni,TRG,Terung,0,0,0,0,0,0,0.0,0,5333,6,2024-06-01,0.0,0,1
492,2024,Juli,TRG,Terung,0,0,0,0,0,0,0.0,0,5333,7,2024-07-01,0.0,0,1
518,2024,Agustus,TRG,Terung,0,0,0,0,0,0,0.0,0,5333,8,2024-08-01,0.0,0,1
544,2024,September,TRG,Terung,0,0,0,0,0,0,0.0,0,5333,9,2024-09-01,0.0,0,1
570,2024,Oktober,TRG,Terung,0,0,0,0,0,0,0.0,0,5333,10,2024-10-01,0.0,0,1
596,2024,November,TRG,Terung,0,0,0,0,0,0,0.0,0,5333,11,2024-11-01,0.0,0,1
622,2024,Desember,TRG,Terung,0,0,0,0,0,0,0.0,0,5333,12,2024-12-01,0.0,0,1
648,2025,Januari,TRG,Terung,11,0,11,0,2,13,0.0,880,4500,1,2025-01-01,88000.0,11,0
674,2025,Februari,TRG,Terung,13,3,10,0,6,16,240.0,800,4000,2,2025-02-01,104000.0,13,0
700,2025,Maret,TRG,Terung,16,3,13,0,2,15,240.0,1040,4000,3,2025-03-01,128000.0,16,0
726,2025,April,TRG,Terung,15,4,11,0,4,15,320.0,880,4000,4,2025-04-01,120000.0,15,0
752,2025,Mei,TRG,Terung,15,0,15,0,0,15,0.0,1200,4000,5,2025-05-01,120000.0,15,0
778,2025,Juni,TRG,Terung,15,0,0,0,0,15,0.0,0,0,6,2025-06-01,0.0,0,1
804,2025,Juli,TRG,Terung,15,2,0,0,2,15,120.0,0,4300,7,2025-07-01,12000.0,2,0
830,2025,Agustus,TRG,Terung,15,1,0,0,1,15,70.0,0,4000,8,2025-08-01,7000.0,1,0
856,2025,September,TRG,Terung,15,2,0,0,2,15,145.0,0,8000,9,2025-09-01,14500.0,2,0
882,2025,Oktober,TRG,Terung,15,4,0,0,4,15,280.0,0,8000,10,2025-10-01,28000.0,4,0
908,2025,November,TRG,Terung,15,7,8,0,7,15,525.0,600,7000,11,2025-11-01,112500.0,15,0
934,2025,Desember,TRG,Terung,15,5,0,0,5,15,400.0,0,7000,12,2025-12-01,40000.0,5,0
962,2026,Januari,TRG,Terung,15,5,10,0,8,18,750.0,1500,6000,1,2026-01-01,225000.0,15,0
990,2026,Februari,TRG,Terung,18,4,0,0,3,17,600.0,0,6000,2,2026-02-01,60000.0,4,0
1018,2026,Maret,TRG,Terung,17,4,13,0,2,15,600.0,2600,4000,3,2026-03-01,320000.0,17,0
25,2023,Januari,TMT,Tomat,11,4,7,0,3,10,400.0,700,4000,1,2023-01-01,110000.0,11,0
51,2023,Februari,TMT,Tomat,10,4,6,0,8,14,400.0,600,3500,2,2023-02-01,100000.0,10,0
77,2023,Maret,TMT,Tomat,14,3,11,0,2,13,300.0,1100,35000,3,2023-03-01,140000.0,14,0
103,2023,April,TMT,Tomat,13,1,12,0,1,13,100.0,1200,35000,4,2023-04-01,130000.0,13,0
129,2023,Mei,TMT,Tomat,13,1,12,0,1,13,100.0,1200,3500,5,2023-05-01,130000.0,13,0
155,2023,Juni,TMT,Tomat,13,1,12,0,1,13,90.0,1080,3500,6,2023-06-01,117000.0,13,0
