Metode,val_MAPE_mean(%),val_MAPE_std(%),val_MedianMAPE_mean(%),val_RMSE_mean,val_R2_mean,Jumlah_Fitur,Jumlah_Parameter
Embedding,81.23674540021067,18.143899007724162,76.39970003681975,10780.49987225864,-0.0401980821277406,9,20169
Label Encoding,87.06138859737109,4.664300029057269,87.06138859737109,13448.387355761588,0.5834242342443755,10,19265
One-Hot Encoding,74.07294980819348,5.310145044033486,59.0772168355982,10232.555986079475,0.10338555691310158,35,25665
