split,MAPE(%),RMSE(kg),R2
Train,56.683564737028334,70689.83075973167,0.006696984292969499
Validation,33.485603543743075,16819.26438108955,0.8978459279472274
Test,39.23382838696763,43537.52933855285,0.6428264762473905
