split,MAPE(%),RMSE(kg),R2
Train,92.79846057205411,76880.99602592994,-0.08756115693194189
Validation,72.23099405458917,46765.08070482136,-0.22093197818696253
Test,121.83558412281323,80644.29683056097,-0.08751374198834294
