learning_rate,dropout,units,n_layer,epochs,val_mape,val_rmse
0.001,0.3,64,3,10,72.23099405458917,46765.08070482136
0.001,0.2,32,2,12,74.0644293510757,47299.85659261609
0.0005,0.3,32,2,19,84.62523263123146,48071.13657655267
0.0005,0.3,64,3,16,86.12069035414585,48177.93288531809
0.001,0.2,64,2,11,89.51903613319232,48786.123886543195
0.0005,0.2,64,2,15,106.65977835667944,49675.10756023556
