Nama,metode_terpilih,val_mape,val_mape_lag1,val_mape_rolling3,val_mape_last_nonzero,val_mape_seasonal_median,val_mape_seasonal_pos_median,val_mape_train_median_pos,val_mape_train_mean_pos,val_mape_blend_roll_season,val_mape_blend_lag_roll,val_mape_zero
Bawang Daun,lag1,57.02380952380952,57.02380952380952,118.84920634920636,57.02380952380952,477.68749999999994,467.6875,264.0029761904762,443.8164682539683,287.4350198412698,81.26984126984128,100.0
Buncis,zero,100.0,101.97619047619047,222.47460317460317,101.97619047619047,218.37559523809523,208.37559523809523,314.22857142857146,331.17732919254655,207.67271825396824,162.22539682539684,100.0
Cabai Besar,seasonal_pos_median,0.0,122.04331450094162,202.30938239412816,122.04331450094162,50.0,0.0,206.28672125772928,177.77153645058974,101.15469119706408,153.6578299290164,100.0
Cabai Keriting,seasonal_pos_median,0.0,132.11111111111111,245.989898989899,132.11111111111111,50.0,0.0,302.5252525252525,231.65457203615097,122.9949494949495,189.05050505050508,100.0
Cabai Rawit,seasonal_pos_median,0.0,141.58876588765887,240.36210195435288,141.58876588765887,50.0,0.0,240.18675686756862,195.05867104723677,120.18105097717644,180.97543392100584,100.0
Kembang Kol,zero,100.0,106.38095238095238,211.5555555555556,106.38095238095238,397.23888888888894,387.23888888888894,460.6349206349206,541.5181878306878,299.39722222222224,148.3015873015873,100.0
Kubis,blend_lag_roll,51.58730158730158,68.45238095238095,65.27777777777779,63.32417582417583,836.6460622710621,836.6460622710621,446.7032967032967,754.9983974358975,385.68414224664224,51.58730158730158,100.0
Labu Siam,seasonal_pos_median,0.0,221.92358803986713,516.141380583241,221.92358803986713,50.0,0.0,473.1914451827242,502.491824127907,258.0706902916205,359.31819859726835,100.0
Tomat,seasonal_pos_median,0.0,201.5079365079365,401.7144892144892,201.5079365079365,50.0,0.0,458.3974358974359,448.8579632173382,200.8572446072446,288.99216524216524,100.0
