No,Tahun,Bulan,Kode,Nama,Luas Tan Akhir Bulan Lalu,Luas Panen Habis,Luas Panen Belum Habis,Luas Rusak,Luas Tambah Tanam,Luas Tan Akhir,Produksi Habis (Kw),Produksi Belum Habis (Kw),Harga Jual Petani (Rp/Kg),Produksi_Habis_kg,Produksi_BelumHabis_kg,Produksi_kg,Luas_Panen_ha,Bulan_Angka,is_zero_produksi,is_outlier,Periode,Suhu_Rata,Curah_Hujan,Total_Pupuk_Kg,bulan_sin,bulan_cos,lag1_produksi,rolling3_produksi,komoditas_id,komoditas_oh_Bawang Daun,komoditas_oh_Bawang Merah,komoditas_oh_Bawang Putih,komoditas_oh_Bayam,komoditas_oh_Buncis,komoditas_oh_Cabai Besar,komoditas_oh_Cabai Keriting,komoditas_oh_Cabai Rawit,komoditas_oh_Jamur Lainnya,komoditas_oh_Jamur Merang,komoditas_oh_Jamur Tiram,komoditas_oh_Kacang Panjang,komoditas_oh_Kangkung,komoditas_oh_Kembang Kol,komoditas_oh_Kentang,komoditas_oh_Kubis,komoditas_oh_Labu Siam,komoditas_oh_Melon,komoditas_oh_Mentimun,komoditas_oh_Paprika,komoditas_oh_Petsai/Sawi,komoditas_oh_Semangka,komoditas_oh_Stroberi,komoditas_oh_Terung,komoditas_oh_Tomat,komoditas_oh_Wortel,split
339,2024,Februari,BWD,Bawang Daun,14,3,0,0,2,13,600.0,0,8000,60000.0,0,0.2548853016142736,0.1875,2,0,False,2024-02-01,0.2758620689655169,0.7236794825727632,0.0,0.9330127018922193,0.75,0.2548853016142736,0.18684603886397608,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
365,2024,Maret,BWD,Bawang Daun,13,3,0,0,6,16,600.0,0,10000,60000.0,0,0.2548853016142736,0.1875,3,0,False,2024-03-01,0.2413793103448283,0.7240388070427596,0.0,1.0,0.5,0.2548853016142736,0.23489216314328423,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
391,2024,April,BWD,Bawang Daun,18,2,14,0,1,17,100.0,1264,6000,10000.0,126400,0.5794392523364486,1.0,4,0,True,2024-04-01,0.4482758620689653,0.6981674452030183,0.0,0.9330127018922194,0.2500000000000001,0.2548853016142736,0.31176596199017725,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
417,2024,Mei,BWD,Bawang Daun,9,6,4,0,11,10,315.0,990,6000,31500.0,99000,0.554375531011045,0.625,5,0,True,2024-05-01,0.5172413793103443,0.6126482213438734,0.0,0.75,0.06698729810778065,0.5794392523364486,0.47490924620969466,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
443,2024,Juni,BWD,Bawang Daun,12,1,14,0,10,13,974.0,1380,6000,97400.0,138000,1.0,0.9375,6,0,True,2024-06-01,0.2068965517241379,0.6658282429033416,0.0,0.5000000000000001,0.0,0.554375531011045,0.6254537689515268,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
469,2024,Juli,BWD,Bawang Daun,14,6,9,0,13,4,443.0,529,6000,44300.0,52900,0.4129141886151232,0.9375,7,0,False,2024-07-01,0.068965517241379,0.02227811713977723,0.0,0.2500000000000001,0.06698729810778059,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
495,2024,Agustus,BWD,Bawang Daun,0,0,0,0,0,0,0.0,0,6260,0.0,0,0.0,0.0,8,1,False,2024-08-01,0.3793103448275863,0.0,0.0,0.06698729810778081,0.24999999999999978,0.4129141886151232,0.9162929745889387,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
521,2024,September,BWD,Bawang Daun,5,8,1,0,14,5,251.0,708,6000,25100.0,70800,0.4073916737468139,0.5625,9,0,False,2024-09-01,0.3793103448275863,0.22385914480776137,0.0,0.0,0.4999999999999999,0.0,0.6376254537689515,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
547,2024,Oktober,BWD,Bawang Daun,6,6,7,0,9,2,557.0,1279,6000,55700.0,127900,0.7799490229396772,0.8125,10,0,True,2024-10-01,0.5517241379310347,0.6572044556234279,0.0,0.0669872981077807,0.75,0.4073916737468139,0.3397394832372411,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
573,2024,November,BWD,Bawang Daun,5,3,4,0,1,5,120.0,782,6000,12000.0,78200,0.38317757009345793,0.4375,11,0,False,2024-11-01,0.2413793103448283,0.9999999999999999,0.0,0.24999999999999978,0.9330127018922192,0.7799490229396772,0.5242366004697844,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
599,2024,Desember,BWD,Bawang Daun,7,3,8,0,5,17,767.0,905,6000,76700.0,90500,0.7102803738317757,0.6875,12,0,True,2024-12-01,0.1724137931034484,0.9690980955803089,0.0,0.4999999999999999,1.0,0.38317757009345793,0.7168481742472773,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
625,2025,Januari,BWD,Bawang Daun,9,1,0,0,2,10,180.0,0,5000,18000.0,0,0.07646559048428207,0.0625,1,0,False,2025-01-01,0.03448275862069039,0.6015091627739849,0.0,0.75,0.9330127018922194,0.7102803738317757,0.8691010036301516,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
651,2025,Februari,BWD,Bawang Daun,10,2,0,0,3,11,360.0,0,5500,36000.0,0,0.15293118096856415,0.125,2,0,False,2025-02-01,0.0,0.6845131153431548,0.0,0.9330127018922193,0.75,0.07646559048428207,0.5154815289344437,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
677,2025,Maret,BWD,Bawang Daun,11,3,0,0,2,10,540.0,0,5500,54000.0,0,0.2293967714528462,0.1875,3,0,False,2025-03-01,0.1724137931034484,0.7240388070427596,0.0,1.0,0.5,0.15293118096856415,0.39974375400384365,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
703,2025,April,BWD,Bawang Daun,10,2,0,0,2,10,360.0,0,5500,36000.0,0,0.15293118096856415,0.125,4,0,False,2025-04-01,0.13793103448275978,0.6981674452030183,0.0,0.9330127018922194,0.2500000000000001,0.2293967714528462,0.1580183642963912,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,train
729,2025,Mei,BWD,Bawang Daun,10,1,0,0,1,10,180.0,0,5500,18000.0,0,0.07646559048428207,0.0625,5,0,False,2025-05-01,0.2413793103448283,0.6126482213438734,0.0,0.75,0.06698729810778065,0.15293118096856415,0.1964552637198377,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,val
