cls_loss,loss,reg_loss,val_cls_loss,val_loss,val_reg_loss,learning_rate
0.6816737651824951,0.775512158870697,0.4346117675304413,0.6430439949035645,0.5877359509468079,0.2680283486843109,0.0010000000474974513
0.5877159237861633,0.5952655076980591,0.3013947010040283,0.49048569798469543,0.3996449410915375,0.16341806948184967,0.0010000000474974513
0.5012065768241882,0.510172963142395,0.25972780585289,0.4444575905799866,0.3766990303993225,0.1629284769296646,0.0010000000474974513
0.4585959315299988,0.4719849228858948,0.24278120696544647,0.42278116941452026,0.3656393587589264,0.16243235766887665,0.0010000000474974513
0.4338560700416565,0.44537633657455444,0.2282216101884842,0.4217343330383301,0.3698362708091736,0.16909494996070862,0.0010000000474974513
0.41448867321014404,0.42478513717651367,0.217407688498497,0.4229428470134735,0.3881583511829376,0.1913151890039444,0.0010000000474974513
0.3726218044757843,0.3842694163322449,0.19761943817138672,0.4438920021057129,0.4202136695384979,0.2166047841310501,0.0010000000474974513
0.3501727879047394,0.3539053201675415,0.17853793501853943,0.45945361256599426,0.43987905979156494,0.23068727552890778,0.0005000000237487257
0.339779794216156,0.34155911207199097,0.17116037011146545,0.4894609749317169,0.47264784574508667,0.24847981333732605,0.0005000000237487257
0.3180193305015564,0.31983983516693115,0.16036443412303925,0.5100114941596985,0.4883245825767517,0.25794678926467896,0.0005000000237487257
