Model,seed,Val_MAPE,Test_MAPE,Test_MedianMAPE,Test_RMSE,Test_R2,Waktu(s),Epoch,Parameter
SimpleRNN,42,101.9642303763031,84.39123648076868,26.439133508219605,32843.26008280763,0.8693184748668293,4.1,51,9537
SimpleRNN,43,88.8050581552235,175.67066755061785,33.18352699279785,38502.73942425442,0.8204005775753489,3.9,56,9537
SimpleRNN,44,78.94188949644723,114.25326910681659,33.24415333865693,38707.45279329154,0.8184856933798307,5.2,84,9537
GRU,42,36.01143865796868,84.96992132288058,27.085946866828536,51590.28195696289,0.6775536403122953,7.7,106,28833
GRU,43,33.313381843169374,86.99241929709423,34.78286479165156,40280.99848109329,0.8034277856621866,9.1,124,28833
GRU,44,29.087994033138585,93.9045458167832,38.22365215006802,39872.099719774174,0.8073984007120999,8.4,119,28833
LSTM,42,21.345751196439497,87.99987163788917,24.99810424115923,44694.38197913057,0.7579932117118406,6.5,91,38049
LSTM,43,24.365932861160324,72.47986934425764,24.7218507155776,43530.74300751365,0.7704306865607586,8.0,120,38049
LSTM,44,20.896337217792173,91.63837283278498,36.82164267885188,55094.627261158625,0.6322605909481861,9.3,146,38049
